"","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S %","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","USG%","PPR","PPS","ORtg","DRtg","eDiff","FIC","PER","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","OWS","DWS","WS","CalledUp","Pos","WT","HT","Draft","pic"
"48","Devontae Cacok","AUS",23,28.7,17.4,6.9,13,0.528,0.6,1.6,0.351,1.9,3,0.632,3,8.4,11.5,2,1.5,0.3,3.1,4,0.608,0.55,151.2,10.4,31.6,20.5,10.5,18,2.6,0.9,25.2,-6.3,1.3,104.4,110,-5.5,334.8,19.4,0.207,0.6,0.5,0.2,8,15,0.348,0,1,0.9,0,"PF",240,79,"Undrafted",382.95
"49","Elijah Cain","SBL",25,17.5,4.7,1.6,4.2,0.371,0.6,1.8,0.318,0.6,0.7,0.882,0.3,1.6,1.9,1.7,1.1,0.3,0.6,1.6,0.525,0.438,157.2,2,9.6,5.8,11.4,12.5,3.1,1.4,12.4,2.7,1.1,104.7,112.7,-8,110.6,9.7,0.072,2.6,1.8,0.2,18,7,0.72,0,0.5,0.5,0,"SF",200,78,"Undrafted",112.5
"50","Perrion Callandret","WCB",28,20.7,4.1,1.6,4.1,0.391,0.5,1.5,0.317,0.3,0.5,0.533,0.1,2.5,2.6,3.3,0.9,0.3,1.5,2.1,0.477,0.448,124.2,0.6,12.8,6.7,21,25.7,2.1,1.1,12.4,3.4,1,91.3,111.7,-20.4,132.9,7.4,0.122,2.2,0.6,0.1,12,16,0.429,-0.6,0.8,0.1,0,"G",180,74,"Undrafted",131.6
"51","Manny Camper","GRG",27,31,9.5,3.5,7.1,0.49,0.4,1.8,0.25,1.4,2,0.698,2.5,5.7,8.2,1.7,1.3,0.5,1.2,3,0.597,0.521,143.8,8.6,19.4,14.1,7.5,12.9,2.1,1.6,13,-0.2,1.3,115,111.1,3.9,300.4,13.5,0.128,1.4,1.1,0.3,14,13,0.519,0.7,1.2,1.8,0,"GF",216,79,"Undrafted",305.1
"52","Devin Cannady","LAK",16,26.5,15.8,5.1,11,0.46,3.7,7.9,0.468,1.4,1.4,0.957,0.4,2.4,2.9,2.1,0.5,0.3,1.3,1.8,0.68,0.628,188.5,1.8,10.8,6.2,11.7,9.7,0.9,1.2,21.5,0.6,1.4,120.7,126.2,-5.5,161.1,16.8,0.172,1.7,0.4,0.1,6,10,0.375,0.8,-0.1,0.6,1,"PG",190,73,"Undrafted",194.4
"53","Olin Carter III","TEX",33,31.4,12.4,4,11,0.367,2.9,8.1,0.36,0.8,1,0.758,0.8,3.1,3.8,2.3,0.8,0.4,1.1,2.5,0.542,0.5,148.5,2.5,10.2,6.4,10.4,8.5,1.4,1.1,17.5,1.6,1.1,106.6,119.5,-12.9,266.4,10.6,0.158,2.2,0.8,0.1,18,15,0.545,0.2,0.4,0.6,0,"PG",190,74,"Undrafted",277.2
"54","D.J. Carton","GBO",22,25.3,10.5,4,8.4,0.476,1,3.6,0.266,1,1.3,0.724,0.8,2.5,3.3,3,1,0.5,1.8,1.1,0.584,0.532,146.6,3.4,10.6,7.1,18.7,16.5,2.1,1.8,19.1,0.9,1.2,104.4,116.2,-11.7,189.4,13.4,0.184,1.7,0.6,0.2,6,16,0.273,0,0.4,0.4,0,"PG",200,74,"Undrafted",221.1
"55","Ahmad Caver","MHU",29,36.7,16.7,5.9,14.5,0.409,0.9,3.3,0.284,2.5,3.4,0.72,0.9,4.7,5.6,7.8,1.7,0.6,2.4,2,0.52,0.441,141.3,2.5,13.6,7.9,31.2,12.9,2.2,1.3,21.5,7.7,1.1,106.5,114.9,-8.4,452.3,15.2,0.335,3.3,0.7,0.2,13,16,0.448,0.2,1,1.2,1,"PG",174,74,"Undrafted",514.75
"56","Mario Chalmers","SXF",31,25.5,11.3,3.2,8.1,0.389,1.4,3.9,0.355,1.8,2.3,0.778,0.3,3,3.4,5.7,1.5,0.2,2.8,4,0.615,0.474,152.2,1.3,13.2,7.1,32.4,23.5,3,0.6,20.8,4.1,1.4,99.7,115.6,-15.9,296,12.4,0.227,2,0.6,0.3,12,19,0.387,-0.5,0.7,0.1,1,"G",190,74,"Rnd 2",296.05
"57","Justin Champagnie","RAP",14,36,21.1,7.8,15.9,0.489,2.6,6.3,0.409,2,2.6,0.778,2.6,5.6,8.3,1.5,1.2,1.1,2.1,1.9,0.62,0.57,167.6,6.8,15.8,11.1,6.2,10.8,1.6,2.7,21.3,-2.9,1.3,117.2,108.9,8.3,222,18.4,0.218,0.7,0.6,0.2,11,3,0.786,0.7,0.8,1.5,0,"F",210,78,"Undrafted",259.7
"58","Joe Chealey","GBO",28,29.1,11,3.2,8.9,0.36,0.6,2.3,0.286,2.5,2.8,0.922,0.5,3.1,3.6,6.1,0.8,0.1,2.4,3.2,0.544,0.396,156.8,2,11.7,6.9,30.6,19.1,1.3,0.4,19.2,5.9,1.2,101.2,120.4,-19.2,257.9,10.2,0.243,2.6,0.3,0.3,7,21,0.25,-0.4,0.3,-0.1,0,"PG",190,76,"Undrafted",271.6
"59","Zylan Cheatham","BIR",23,31.9,13.9,5,9,0.556,1,2.6,0.383,2,2.6,0.75,2,9,10.9,2.6,0.9,0.7,2.3,3,0.683,0.611,168.9,6.9,29.3,18.4,11.1,18.5,1.4,2,17.4,-1.9,1.5,115.6,111.4,4.2,348.8,17.1,0.179,1.1,0.4,0.3,16,7,0.696,0.8,1,1.8,1,"SF",220,77,"Undrafted",410.55
